243	192
230	174
283	214
261	248
236	228
218	184
144	431
133	390
175	329
176	303
187	263
190	241
194	226
209	209
195	196
192	190
191	179
191	171
134	179
126	211
111	184
103	204
84	226
69	267
535	369
501	341
467	315
425	290
409	276
390	261
369	246
358	232
339	223
331	217
322	204
310	197
302	190
295	182
281	169
598	367
563	343
487	298
448	274
435	256
404	248
390	232
371	220
351	208
344	200
331	191
312	176
302	172
576	323
530	297
503	277
467	248
444	241
413	216
385	199
362	194
343	182
488	256
597	305
569	227
444	176
