464	438
376	369
303	314
245	288
224	272
230	258
231	296
203	296
191	280
302	351
326	406
368	410
143	398
86	451
613	409
556	381
484	344
458	328
435	316
409	306
397	299
390	290
374	283
362	277
347	269
339	262
327	261
322	254
314	247
304	247
577	363
547	352
522	340
506	330
491	322
479	319
464	310
432	294
414	290
412	283
403	280
391	277
383	268
370	264
353	259
350	254
342	251
333	246
587	347
559	331
535	321
515	313
495	309
481	298
460	273
430	273
415	270
406	262
390	260
382	258
373	252
378	242
428	256
496	279
