484	444
305	311
289	366
369	402
218	270
187	264
164	243
191	241
140	278
142	295
144	396
613	406
583	394
563	386
539	371
535	364
521	357
495	345
472	340
462	332
450	323
440	318
427	304
407	304
401	296
390	293
379	283
372	282
351	272
343	266
335	261
323	257
312	249
285	236
286	236
273	231
614	384
592	372
574	365
556	349
520	332
500	318
484	316
476	306
462	300
443	296
432	291
424	286
412	280
402	274
384	270
374	263
365	259
358	258
354	256
342	251
337	248
327	237
307	235
295	226
615	354
597	342
561	331
548	322
531	314
509	308
497	303
480	294
451	285
441	276
430	274
406	262
394	257
386	255
377	248
364	244
353	238
348	231
612	315
584	297
539	292
526	283
495	280
484	272
474	269
461	266
448	262
443	260
428	256
419	253
409	251
398	246
385	238
370	237
356	229
