543	152
548	184
586	201
539	214
509	182
494	254
377	446
454	460
117	460
163	445
197	422
217	407
241	394
277	373
288	356
315	337
335	316
360	303
372	294
374	282
382	276
390	266
395	260
396	251
396	242
401	227
400	214
398	204
398	188
394	171
388	163
379	157
377	226
52	463
102	439
140	416
171	398
191	386
210	373
230	352
254	340
273	334
286	318
291	307
304	298
313	292
321	285
325	269
335	260
340	252
342	246
354	229
361	212
359	201
352	181
355	169
342	164
15	424
52	423
79	402
144	361
195	319
215	331
233	310
251	288
273	290
277	280
283	272
289	260
294	251
301	243
301	232
319	229
313	216
316	208
318	188
323	174
