49	460
38	402
68	389
64	346
64	318
273	405
296	378
335	405
228	360
231	328
191	295
174	281
150	265
132	249
108	251
92	239
131	300
160	298
175	310
604	453
532	384
496	394
477	383
454	371
443	360
428	357
409	347
398	340
382	326
367	318
349	311
333	306
315	298
306	295
302	290
293	285
288	278
271	276
262	266
251	261
239	254
228	250
214	242
196	235
192	227
180	224
601	403
496	360
466	350
440	334
412	324
403	314
385	301
363	297
331	287
319	276
301	267
289	263
271	255
254	247
241	243
237	239
230	235
222	232
215	227
204	224
195	220
555	362
525	347
494	337
471	327
454	319
433	309
416	302
398	294
383	281
361	277
345	271
336	266
328	261
320	259
312	254
301	253
288	248
278	241
257	226
233	224
226	219
217	215
598	338
571	320
556	327
528	322
522	310
485	302
464	297
448	294
430	284
412	279
370	266
356	259
349	255
336	253
318	246
309	242
296	239
282	230
