215	369
307	348
272	324
261	306
244	291
244	273
257	266
267	273
299	321
310	305
330	319
326	344
365	352
374	394
453	447
502	444
604	410
571	392
521	370
498	353
469	339
446	328
427	318
409	307
390	295
369	287
361	282
353	278
336	270
327	264
315	259
306	255
603	387
584	375
560	365
543	355
520	345
492	336
473	326
456	318
441	309
422	301
412	294
391	288
379	275
340	260
567	348
511	325
498	318
482	314
462	303
446	298
435	291
416	287
404	281
391	275
365	264
353	256
381	262
393	265
407	268
414	274
430	277
438	282
466	292
484	299
527	310
