104	433
125	298
161	281
173	252
172	221
180	199
193	173
187	148
206	123
224	106
239	65
171	103
142	159
117	205
99	249
46	326
29	244
50	211
83	176
108	131
124	104
132	88
270	439
270	295
282	273
286	245
285	218
285	201
291	165
296	142
299	119
302	101
304	90
304	76
26	244
52	209
75	181
112	129
123	107
131	90
172	99
147	161
110	201
104	252
49	327
21	342
100	427
135	299
162	281
171	251
171	222
181	199
192	176
192	150
205	123
226	104
239	64
299	70
307	89
303	102
306	117
292	141
294	166
286	196
283	218
291	240
279	272
275	301
283	360
267	436
378	454
354	374
364	323
356	291
367	254
355	150
354	128
350	102
346	92
346	71
378	60
422	86
407	106
408	114
411	125
441	146
422	151
421	161
419	183
437	192
435	212
426	265
448	263
451	302
463	324
465	376
483	436
487	461
