59	234
92	164
71	158
62	175
11	252
75	462
122	389
133	352
139	285
149	248
163	233
149	214
160	191
162	173
153	166
154	155
155	146
191	182
207	214
366	391
326	279
302	248
271	226
251	195
243	183
226	163
194	161
554	384
508	354
444	303
409	281
376	263
360	243
345	234
328	225
317	213
305	204
294	198
293	185
279	180
274	176
265	174
260	163
254	157
245	153
577	352
524	321
464	292
441	267
411	249
390	237
372	222
358	223
346	203
332	201
327	195
319	192
315	188
310	183
306	178
290	169
286	164
283	157
270	153
587	323
542	281
464	259
458	245
435	240
417	230
388	214
379	208
359	195
349	188
335	182
328	175
317	161
307	162
301	151
347	172
396	199
416	209
576	218
530	215
527	192
469	180
448	171
426	167
392	157
